name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2023-06-09,13.2,9.4,11.7,13.2,7.5,11.4,10.2,91,9.3,100,100,rain,0,0,24.1,18.5,180.3,1021.9,96.4,8.6,70,6,3,10,2023-06-09T07:42:12,2023-06-09T17:41:44,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2023-06-10,12.1,5.5,9.3,12.1,5.5,8.5,5.3,76.8,0.9,100,20.83,rain,0,0,24.8,16.6,178.7,1023.4,84.5,10,117.4,10.1,5,10,2023-06-10T07:42:40,2023-06-10T17:41:42,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-11,12,-2,5.4,12,-2.9,4.9,2.5,83.1,0,0,0,,0,0.1,23.4,16.1,179.6,1023.5,12.1,7,145.4,12.5,6,10,2023-06-11T07:43:06,2023-06-11T17:41:40,0.77,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-12,15,-2.7,5,15,-3.6,4.8,0.1,77,0,0,0,,0,0.2,18.4,10.6,236.9,1022,0.6,5.7,150.4,13.2,6,10,2023-06-12T07:43:31,2023-06-12T17:41:40,0.8,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-13,18.8,-2.8,6.6,18.8,-4.9,5.8,-4,55.2,0,0,0,,0,0,18.7,14.7,181.4,1020.9,0.5,8,151.3,13.3,6,10,2023-06-13T07:43:54,2023-06-13T17:41:42,0.84,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-14,19.5,-2.7,8.1,19.5,-4.2,8,-4.5,48.8,0,0,0,,0,0,18,14.8,196.4,1020.4,45.5,7.7,131.2,11.5,5,10,2023-06-14T07:44:17,2023-06-14T17:41:45,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-15,21.1,1.7,11,21.1,-0.3,10.6,-2.1,43.7,0,0,0,,0,0,21.2,17.7,185.4,1019.5,17.3,8.1,140.3,12,6,10,2023-06-15T07:44:39,2023-06-15T17:41:50,0.91,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-16,22,3.2,11.3,22,2.4,11.1,-0.6,47.2,0,0,0,,0,0,19.1,14.7,163.4,1018.2,25.9,7.6,135.3,11.7,5,10,2023-06-16T07:44:59,2023-06-16T17:41:56,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-17,26,3,12.8,26,2.5,12.7,-0.3,46.6,0,0,0,,0,0,22.7,11.2,100.9,1015,21.5,9.6,142.3,12.4,6,10,2023-06-17T07:45:18,2023-06-17T17:42:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-18,13,2.6,8.8,13,2.5,8.3,3.6,70.2,0,0,0,,0,0,21.6,22.3,152,1015,67.4,8,123.4,10.8,5,10,2023-06-18T07:45:36,2023-06-18T17:42:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-19,17.9,7.2,12.1,17.9,7.2,11.9,6.4,70.1,0.6,100,25,rain,0,0,20.2,14.8,177.4,1017.3,59,8,129.8,11.2,5,10,2023-06-19T07:45:53,2023-06-19T17:42:22,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2023-06-20,15.6,7.2,10.9,15.6,6.8,10.7,7.1,77.9,0.5,100,8.33,rain,0,0,29.5,19.5,176.3,1015.9,85.9,7.2,71.9,6.1,3,10,2023-06-20T07:46:08,2023-06-20T17:42:33,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-21,13.2,8.8,11.5,13.2,8.8,11.4,8.8,84.1,1.9,100,20.83,rain,0,0,18.7,12.3,287.7,1018.2,92.5,6.1,44,3.8,2,10,2023-06-21T07:46:22,2023-06-21T17:42:46,0.11,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-22,14,11,12.5,14,11,12.5,11.5,93.4,24.2,100,95.83,rain,0,0,40.3,16.6,104,1018.4,97.6,6.7,26.6,2.4,1,10,2023-06-22T07:46:34,2023-06-22T17:43:00,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-23,16,13,14.3,16,13,14.3,13.8,96.8,16,100,100,rain,0,0,44.6,20.5,170.4,1019.7,100,6.8,15.4,1.4,1,10,2023-06-23T07:46:45,2023-06-23T17:43:16,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-24,16.7,12.3,14.6,16.7,12.3,14.6,13.4,92.3,0.9,100,33.33,rain,0,0,35.6,15.7,132.9,1019.4,78.1,8.9,65.5,5.6,4,10,2023-06-24T07:46:55,2023-06-24T17:43:32,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-25,15.4,11,13.2,15.4,11,13.2,12.2,93.9,1,100,16.67,rain,0,0,21.2,16.6,162.4,1019.7,92.9,5.1,62.1,5.3,3,10,2023-06-25T07:47:04,2023-06-25T17:43:50,0.24,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2023-06-26,15,11.7,13.1,15,11.7,13.1,12,93.2,0.7,100,20.83,rain,0,0,15.5,19,171.9,1019.5,94.2,6.8,35.6,3.2,2,10,2023-06-26T07:47:10,2023-06-26T17:44:09,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
